iter	Passed	Remaining
981	2759	8482
982	2762	8477
983	2765	8476
984	2768	8473
985	2770	8469
986	2773	8465
987	2775	8461
988	2777	8456
989	2781	8456
990	2784	8453
991	2786	8449
992	2788	8445
993	2791	8440
994	2793	8436
995	2797	8437
996	2799	8433
997	2802	8429
998	2804	8425
999	2807	8421
1000	2809	8416
1001	2812	8414
1002	2815	8411
1003	2817	8407
1004	2819	8403
1005	2822	8398
1006	2824	8395
1007	2828	8396
1008	2831	8394
1009	2834	8390
1010	2836	8386
1011	2838	8381
1012	2841	8377
1013	2844	8375
1014	2847	8374
1015	2849	8369
1016	2852	8365
1017	2854	8361
1018	2856	8357
1019	2859	8353
1020	2862	8351
1021	2864	8347
1022	2867	8343
1023	2869	8339
1024	2871	8335
1025	2874	8331
1026	2877	8330
1027	2880	8326
1028	2882	8322
1029	2884	8318
1030	2887	8315
1031	2890	8311
1032	2893	8310
1033	2896	8307
1034	2898	8302
1035	2900	8298
1036	2902	8294
1037	2905	8289
1038	2907	8286
1039	2910	8283
1040	2912	8279
1041	2915	8275
1042	2918	8272
1043	2921	8270
1044	2923	8267
1045	2926	8264
1046	2928	8260
1047	2931	8256
1048	2933	8252
1049	2935	8248
1050	2938	8244
1051	2941	8242
1052	2944	8240
1053	2946	8236
1054	2949	8232
1055	2951	8228
1056	2953	8223
1057	2956	8222
1058	2959	8219
1059	2962	8217
1060	2966	8216
1061	2969	8216
1062	2975	8219
1063	2979	8220
1064	2982	8219
1065	2989	8227
1066	2993	8228
1067	2997	8228
1068	3000	8228
1069	3006	8232
1070	3011	8236
1071	3015	8235
1072	3018	8235
1073	3027	8246
1074	3030	8245
1075	3033	8242
1076	3037	8242
1077	3041	8242
1078	3044	8241
1079	3047	8238
1080	3050	8236
1081	3057	8244
1082	3062	8247
1083	3065	8246
1084	3069	8247
1085	3073	8245
1086	3076	8244
1087	3079	8241
1088	3081	8238
1089	3085	8238
1090	3089	8236
1091	3091	8232
1092	3093	8228
1093	3096	8224
1094	3098	8219
1095	3101	8218
1096	3104	8215
1097	3106	8211
1098	3109	8208
1099	3113	8207
1100	3115	8204
1101	3118	8202
1102	3121	8198
1103	3123	8194
1104	3126	8190
1105	3128	8186
1106	3130	8182
1107	3134	8182
1108	3137	8178
1109	3139	8174
1110	3141	8170
1111	3144	8166
1112	3146	8161
1113	3149	8159
1114	3152	8156
1115	3155	8154
1116	3157	8149
1117	3159	8145
1118	3162	8141
1119	3165	8138
1120	3167	8135
1121	3170	8132
1122	3172	8128
1123	3175	8124
1124	3177	8120
1125	3181	8119
1126	3184	8118
1127	3187	8115
1128	3189	8111
1129	3192	8107
1130	3194	8103
1131	3197	8101
1132	3200	8098
1133	3203	8095
1134	3205	8091
1135	3207	8087
1136	3210	8084
1137	3214	8083
1138	3217	8081
1139	3220	8079
1140	3222	8075
1141	3225	8071
1142	3227	8067
1143	3231	8067
1144	3233	8063
1145	3236	8059
1146	3238	8055
1147	3240	8050
1148	3243	8046
1149	3246	8045
1150	3249	8042
1151	3251	8039
1152	3254	8034
1153	3256	8030
1154	3258	8026
1155	3261	8024
1156	3264	8020
1157	3266	8017
1158	3268	8012
1159	3271	8008
1160	3273	8004
1161	3275	8000
1162	3279	7999
1163	3281	7996
1164	3284	7992
1165	3286	7988
1166	3288	7983
1167	3291	7980
1168	3294	7979
1169	3297	7975
1170	3299	7971
1171	3302	7967
1172	3304	7963
1173	3307	7961
1174	3310	7959
1175	3313	7956
1176	3315	7952
1177	3318	7949
1178	3320	7945
1179	3322	7941
1180	3325	7938
1181	3328	7936
1182	3331	7932
1183	3333	7928
1184	3336	7925
1185	3338	7921
1186	3341	7917
1187	3344	7916
1188	3346	7912
1189	3349	7908
1190	3351	7905
1191	3353	7900
1192	3356	7896
1193	3359	7895
1194	3361	7891
1195	3364	7887
1196	3366	7884
1197	3369	7880
1198	3371	7876
1199	3374	7874
